vk_id,friends_count,photo_count,likes_total,average_likes,groups_count,average_member,male_ratio,female_ratio,unknown_ratio,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,pe_0,pe_1,pe_2,pe_3,pagerank,degree,clustering,betweenness
24086972,0.47440273,0.39419794,0.37201366,0.443686,0.7542662,0.102389075,0.2662116,0.7610921,0.0,0.037542664,0.48293516,0.48293516,0.21843003,0.11262798,-1.3950343,-0.71656156,0.05164447,0.7876456,0.23468557,0.3017198,0.80424607,-0.58203346
26951266,0.67918086,0.7883959,0.7474403,0.63139933,0.78156996,0.64846414,0.67235494,0.35494882,0.0,0.5546075,0.5238908,0.45051193,0.80375427,0.6177474,-0.6155398,0.57407165,-0.23934554,-0.8938871,1.5805095,1.5465316,-1.1524217,2.0881639
29599414,0.17576791,0.21501707,0.26791808,0.46587032,0.35836178,0.57337886,0.11604095,0.9146758,0.0,0.43515357,0.19624573,0.15187714,0.21843003,0.17576791,-0.6431225,0.6209488,0.1451816,-3.290515,-0.8130429,-0.8237264,-0.6021196,-0.59385395
27609732,0.831058,0.7525597,0.9351536,0.97269624,0.5665529,0.26279864,0.16382253,0.8634812,0.0,0.8634812,0.5665529,0.78156996,0.03583618,0.7013652,1.1237729,-1.6398833,-0.15321244,0.19781005,-0.26889378,-0.24395108,0.22162804,-0.56471825
30425027,0.7883959,0.36348122,0.0,0.0,0.023890786,0.6552901,0.39249146,0.63822526,0.0,0.29863483,0.44027305,0.51365185,0.12798634,0.22866894,1.3010483,-2.0736046,0.18551876,-0.042248685,-0.62283754,-0.6020476,0.9743531,-0.811058
39832377,0.3327645,0.6774744,0.86006826,0.93174064,0.5102389,0.96245736,0.39590445,0.63139933,0.0,0.13993174,0.06313993,0.081911266,0.6877133,0.6672355,0.40417358,1.4080637,-1.1000429,0.4383923,0.30509007,0.26761538,-0.63616353,0.14646743
33912213,0.8668942,0.9761092,0.98293513,0.70989764,0.41638225,0.49488056,0.35153583,0.6757679,0.0,0.34300342,0.6433447,0.6757679,0.7320819,0.6672355,0.8153717,-1.1790634,-0.26461348,-0.5990504,0.28717178,0.3017198,-0.39523676,-0.017918745
37219332,0.55972695,0.79522187,0.8327645,0.72696245,0.3651877,0.9044369,0.4573379,0.5699659,0.0,0.34300342,0.7457338,0.23720136,0.8668942,0.11262798,-0.58016527,0.39230934,-0.69541734,0.43615857,0.35134146,0.4040331,-0.055367224,-0.29594332
41677895,0.221843,0.25255972,0.47269624,0.9215017,0.75085324,0.6109215,0.3139932,0.7133106,0.0,0.037542664,0.11945392,0.03583618,0.3890785,0.022184301,0.4627929,-0.072881594,-0.08202869,0.47715217,1.819845,1.7852626,-1.3597208,2.488349
41163495,0.33788395,0.48634812,0.31911263,0.2662116,0.051194537,0.34812286,0.8020478,0.22525597,0.0,1.0,1.0,1.0,1.0,1.0,1.2207772,-2.053369,0.2040572,-0.3487877,-0.53225225,-0.550891,0.63203883,-0.43046162
